"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1UTSL0041","SALT LAKE CITY 2.1 SE, UT US","40.7447","-111.8677","1311.6","2009",,,,,,,,,"20.58",",N",,,,,,,,
"US1UTSL0041","SALT LAKE CITY 2.1 SE, UT US","40.7447","-111.8677","1311.6","2010",,,,,,,,,"23.38",",N",,,,,,,,
"US1UTSL0041","SALT LAKE CITY 2.1 SE, UT US","40.7447","-111.8677","1311.6","2011",,,,,,,,,"23.65",",N",,,,,,,,
"US1UTSL0041","SALT LAKE CITY 2.1 SE, UT US","40.7447","-111.8677","1311.6","2012",,,,,,,,,"15.33",",N",,,,,,,,
"US1UTSL0041","SALT LAKE CITY 2.1 SE, UT US","40.7447","-111.8677","1311.6","2013",,,,,,,,,"15.63",",N",,,,,,,,
"US1UTSL0041","SALT LAKE CITY 2.1 SE, UT US","40.7447","-111.8677","1311.6","2014",,,,,,,,,"17.31",",N",,,,,,,,
"US1UTSL0041","SALT LAKE CITY 2.1 SE, UT US","40.7447","-111.8677","1311.6","2015",,,,,,,,,"19.63",",N",,,,,,,,
"US1UTSL0041","SALT LAKE CITY 2.1 SE, UT US","40.7447","-111.8677","1311.6","2016",,,,,,,,,"19.11",",N",,,,,,,,
"US1UTSL0062","MAGNA 1.2 W, UT US","40.7034","-112.1087","1333.5","2011",,,,,,,,,"24.11",",N",,,,,,,,
"US1UTSL0062","MAGNA 1.2 W, UT US","40.7034","-112.1087","1333.5","2012",,,,,,,,,"14.52",",N",,,,,,,,
"US1UTSL0062","MAGNA 1.2 W, UT US","40.7034","-112.1087","1333.5","2014",,,,,,,,,"18.72",",N",,,,,,,,
"US1UTSL0062","MAGNA 1.2 W, UT US","40.7034","-112.1087","1333.5","2016",,,,,,,,,"17.87",",N",,,,,,,,
"US1UTSL0061","WEST VALLEY CITY 2.5 ESE, UT US","40.6801","-111.9631","1315.8","2013",,,,,,,,,"13.75",",N",,,,,,,,
"US1UTSL0061","WEST VALLEY CITY 2.5 ESE, UT US","40.6801","-111.9631","1315.8","2015",,,,,,,,,"17.28",",N",,,,,,,,
"US1UTSL0083","SANDY 1.1 NNE, UT US","40.5857","-111.8491","1436.8","2011",,,,,,,,,"24.23",",N",,,,,,,,
"US1UTSL0083","SANDY 1.1 NNE, UT US","40.5857","-111.8491","1436.8","2013",,,,,,,,,"16.64",",N",,,,,,,,
"US1UTSL0060","SANDY 2.0 ESE, UT US","40.5566","-111.8208","1478.9","2010",,,,,,,,,"27.78",",N",,,,,,,,
"US1UTSL0060","SANDY 2.0 ESE, UT US","40.5566","-111.8208","1478.9","2011",,,,,,,,,"26.70",",N",,,,,,,,
"US1UTSL0060","SANDY 2.0 ESE, UT US","40.5566","-111.8208","1478.9","2012",,,,,,,,,"21.20",",N",,,,,,,,
"US1UTSL0060","SANDY 2.0 ESE, UT US","40.5566","-111.8208","1478.9","2013",,,,,,,,,"19.74",",N",,,,,,,,
"US1UTSL0060","SANDY 2.0 ESE, UT US","40.5566","-111.8208","1478.9","2014",,,,,,,,,"21.97",",N",,,,,,,,
"US1UTSL0060","SANDY 2.0 ESE, UT US","40.5566","-111.8208","1478.9","2015",,,,,,,,,"23.59",",N",,,,,,,,
"US1UTSL0060","SANDY 2.0 ESE, UT US","40.5566","-111.8208","1478.9","2016",,,,,,,,,"23.12",",N",,,,,,,,
